,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Schild Estate Merlot,3,3,14.99,red wine,,,,,1
"Sexy Beast Cabernet 2015 Two Hands, McLaren Vale",19,18,21.99,red wine,australian,new world,,,0.947368421
Silver Ghost Cabernet Sauvignon 2016 Central Valley,146,130,6.49,red wine,chilean,new world,,,0.890410959
Silver Ghost Sauvignon Blanc 2017 Central Valley,182,157,6.49,white wine,chilean,new world,sauvignon blanc,,0.862637363
Soave Classico 2016 Inama,27,26,15.99,white wine,italian,old world,,,0.962962963
St Aubin 1er Cru Les Cortons 2015 Hubert Bouzereau,2,2,38,fine wine,french,old world,,,1
Stella Alpina Pinot Grigio 2016 Alto Adige,49,44,12.99,white wine,italian,old world,,,0.897959184
Swartland Limited Release Mourvedre 2015,27,23,11.99,red wine,south-african,new world,,,0.851851852
Tarima Monastrell 2015 Alicante,39,35,8.99,red wine,spanish,old world,,,0.897435897
Taylor's Colhita Tawny Port 1966,2,2,150,fine wine,portuguese,old world,,,1
Taylor's Vintage Port 1985,0,0,95,fine wine,portuguese,old world,,,
Ten Minutes by Tractor Estate Pinot Noir 2015 Mornington Peninsular,8,4,46,fine wine,australian,new world,pinot noir,,0.5
Ten Minutes by Tractor Wallis Chardonnay 2015 Mornington Peninsula,0,0,50,fine wine,australian,new world,,,
Ten Minutes by Tractor Wallis Pinot Noir 2015 Mornington Peninsula,0,0,58,fine wine,australian,new world,pinot noir,,
Tenacity Old Vine Shiraz 2016,34,30,14.99,red wine,australian,new world,,,0.882352941
Testimonio 2013/2014 Luigi Bosca,22,22,12.99,red wine,argentinian,new world,,,1
The Astronomer Shiraz 2016 De Bortoli,90,80,6.99,red wine,australian,new world,,,0.888888889
The Chocolate Block 2014 Boekenhoutskloof,0,0,49.99,red wine,south-african,new world,,,
"The Chocolate Block 2015 Boekenhoutskloof, Western Cape",41,37,25,fine wine,south-african,new world,,,0.902439024
The Cup And Rings AlbariÒo Sobre Lias 2013/2014 Valedorras,16,14,12.99,white wine,spanish,old world,,,0.875
The Cup And Rings Godello Sobre Lias 2015 Monterrai,10,7,12.99,white wine,spanish,old world,,,0.7
The Guv'nor! 2016,186,166,8.99,red wine,spanish,old world,,,0.892473118
The King's Favour Sauvignon Blanc 2016 Marlborough,48,41,13.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.854166667
The King's Legacy Chardonnay 2016 Marlborough,18,14,13.99,white wine,new-zealand,new world,,marlborough wine,0.777777778
The Lay and Wheeler Case x6,0,0,161.99,fine wine,,,,chablis,
The Ned Noble Sauvignon Blanc 2015 Half Bottle,31,29,14.99,white wine,new-zealand,new world,,marlborough wine,0.935483871
The Ned Pinot Grigio 2016/2017 Marlborough,178,166,10.99,white wine,new-zealand,new world,,marlborough wine,0.93258427
"The Ned Pinot Noir 2016 Southern Valleys, Marlborough",58,53,13.99,red wine,new-zealand,new world,,marlborough wine,0.913793103
"The Ned RosÈ 2017 Waihopai River, Marlborough",100,93,11.99,rose wine,,,,,0.93
The Ned Waihopai River Sauvignon Blanc 2016/2017 Marlborough,1266,1198,10.99,white wine,new-zealand,new world,,marlborough wine,0.94628752
Tom·s Postigo 2014 Ribera del Duero,6,4,33,fine wine,spanish,old world,tempranillo,,0.666666667
"Torresilo 2015 Cillar de Silos, Ribera del Duero",6,6,33,fine wine,spanish,old world,tempranillo,,1
Touraine Sauvignon 2016 Domaine Joel Delaunay,6,6,11.99,white wine,french,old world,sauvignon blanc,,1
Tourrela Bordeaux 2014,37,23,9.99,red wine,,,,,0.621621622
Trebuchet Red 2016 Western Cape,30,24,8.99,red wine,south-african,new world,,,0.8
Valle Antigua Chardonnay 2017,13,10,7.99,white wine,chilean,new world,chardonnay,,0.769230769
Valle Antigua Sauvignon Blanc 2017,11,9,7.99,white wine,chilean,new world,,,0.818181818
VallÈe Des Pins RosÈ 2016 CÙteaux d'Aix en Provence,37,34,8.99,rose wine,french,old world,,,0.918918919
Valpolicella Classico 2015/2016 Cantina di Negrar,62,54,9.99,red wine,italian,old world,,,0.870967742
Valpolicella Ripasso 2015 Villa Borghetti,96,88,13.99,red wine,italian,old world,,,0.916666667
Valpolicella Superiore Ripasso 2014 La Casetta,141,136,16.99,red wine,italian,old world,,,0.964539007
Vasse Felix Cabernet Sauvignon 2014,8,6,15.99,red wine,australian,new world,,,0.75
Verdicchio dei Castelli di Jesi 2016 Monte Schiavo,29,24,8.99,white wine,italian,old world,,,0.827586207
Vereto Salice Salentino 2013 Agricole Vallone,20,17,11.99,red wine,,,,,0.85
Villa Maria Cellar Selection Pinot Noir 2016 Marlborough,42,38,15.99,red wine,new-zealand,new world,,marlborough wine,0.904761905
Villa Maria Cellar Selection Sauvignon Blanc 2016 Marlborough,84,81,12.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.964285714
Villa Maria Private Bin Gew¸rztraminer 2016 East Coast,44,35,10.99,white wine,new-zealand,new world,,,0.795454545
Villa Maria Private Bin Riesling 2016 Marlborough,59,53,10.49,white wine,new-zealand,new world,riesling,marlborough wine,0.898305085
Villa Maria Private Bin Sauvignon Blanc 2017/2016 Marlborough,576,562,10.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.975694444
Villa Maria Reserve Sauvignon Blanc 2016 Marlborough,87,85,13.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.977011494
Villemarin Picpoul de Pinet 2016 CÙteaux du Languedoc,230,214,9.99,white wine,french,old world,,south of france,0.930434783
"Vin de Constance 2013 Klein Constantia, Constantia",12,12,56,fine wine,south-african,new world,,,1
